,missing_count,missing_pct
afrr_capacity_awarded_mw_pos_lag_2h,2,0.0043
afrr_capacity_awarded_mw_neg_lag_2h,2,0.0043
load_error_da_lag_2h,2,0.0043
wind_onshore_error_id_lag_2h,2,0.0043
wind_offshore_error_id_lag_2h,2,0.0043
afrr_capacity_offered_mw_neg_lag_2h,2,0.0043
solar_error_id_lag_2h,2,0.0043
wind_onshore_actual_entsoe_mean_168h_lag_2h,2,0.0043
load_actual_entsoe_std_168h,1,0.0022
solar_forecast_update_lag_3h,1,0.0022
afrr_capacity_awarded_mw_pos_lag_3h,1,0.0022
solar_error_da_lag_3h,1,0.0022
afrr_da_price_spread_lag_3h,1,0.0022
wind_onshore_error_da_lag_3h,1,0.0022
load_actual_entsoe_std_24h,1,0.0022
wind_onshore_forecast_update_lag_3h,1,0.0022
da_price_pit_lag_3h,1,0.0022
afrr_capacity_awarded_mw_neg_lag_3h,1,0.0022
afrr_activation_rate_lag_3h,1,0.0022
is_activated_lag_3h,1,0.0022
NRV_balance_lag_2h,1,0.0022
nrv_quantile_5_lag_3h,1,0.0022
nrv_zscore_24h_lag_3h,1,0.0022
target_afrr_capacity_price_pos_h1,1,0.0022
target_afrr_rate_h1,1,0.0022
mfrr_active_lag_lag_3h,1,0.0022
afrr_activation_price_vwap_pos_lag_3h,1,0.0022
load_actual_entsoe_diff1,1,0.0022
target_da_price_h1,1,0.0022
afrr_capacity_offered_mw_neg_lag_3h,1,0.0022
target_afrr_activation_price_vwap_neg_h1,1,0.0022
afrr_activation_price_vwap_neg_lag_3h,1,0.0022
system_stress_signal_lag_3h,1,0.0022
wind_forecast_update_lag_3h,1,0.0022
target_afrr_activation_price_vwap_pos_h1,1,0.0022
grid_stress_index_lag_3h,1,0.0022
afrr_capacity_offered_mw_pos_lag_3h,1,0.0022
target_afrr_capacity_price_neg_h1,1,0.0022
