column,missing_count,missing_pct,leading_nan_run_h,trailing_nan_run_h,internal_nan_count,max_internal_gap_h,first_missing_ts,last_missing_ts,refined_missing_count,inherited_vs_introduced,likely_cause
grid_stress_index_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
is_activated_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
mfrr_active_lag_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
mfrr_mari_net_mw_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
nrv_quantile_5_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
nrv_zscore_24h_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Rolling/statistical warmup window introduces head NaNs
solar_error_da_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
solar_forecast_update_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
system_stress_signal_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_forecast_update_lag_12h,10,0.021734877958660262,10,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 10:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
