date,model,quantile,model_daily_profit_eur,benchmark_daily_profit_eur,realized_model_profit_eur,benchmark_profit_eur,daily_regret_eur,DA_profit_eur,ID_profit_eur,BCM_profit_eur,BEM_profit_eur,penalties_eur,tail_event_flag,activation_surprise_flag,infeasibility_flag,cumulative_model_profit_eur,cumulative_benchmark_profit_eur,cumulative_regret_eur
2025-06-18,RLQR,p50,2528.4498619612373,0.0,2528.4498619612373,0.0,-2528.4498619612373,0.0,0.0,67.58472937430948,2552.1149314960735,0.0,False,False,False,27848.053907844314,0.0,-27848.053907844314
2025-06-19,RLQR,p50,4720.8507552054325,0.0,4720.8507552054325,0.0,-4720.8507552054325,-423.32900000000006,0.0,2241.4676788250904,3118.737495540238,0.0,False,False,False,32568.904663049747,0.0,-32568.904663049747
2025-06-20,RLQR,p50,2697.314414870872,0.0,2697.314414870872,0.0,-2697.314414870872,1005.3900000000002,0.0,1523.0700848800902,516.595977612019,0.0,False,False,True,35266.21907792062,0.0,-35266.21907792062
2025-06-21,RLQR,p50,556.2419659484543,0.0,556.2419659484543,0.0,-556.2419659484543,174.05999999999997,0.0,17.902234657365625,619.0062749870152,0.0,False,False,True,35822.46104386907,0.0,-35822.46104386907
2025-06-22,RLQR,p50,2110.5663319374275,0.0,2110.5663319374275,0.0,-2110.5663319374275,991.836,0.0,840.1113748498142,525.4319563839066,0.0,False,False,True,37933.0273758065,0.0,-37933.0273758065
2025-06-23,RLQR,p50,-803.4739911336414,0.0,-803.4739911336414,0.0,803.4739911336414,-956.327,0.0,0.0,589.4448746120261,0.0,False,False,True,37129.55338467286,0.0,-37129.55338467286
2025-06-24,RLQR,p50,383.53526193742954,0.0,383.53526193742954,0.0,-383.53526193742954,0.0,0.0,0.0,409.8277708480049,0.0,False,False,False,37513.08864661029,0.0,-37513.08864661029
2025-06-25,RLQR,p50,4804.122247308479,0.0,4804.122247308479,0.0,-4804.122247308479,0.0,0.0,2693.3154856326887,2209.7908037140123,0.0,False,False,False,42317.21089391877,0.0,-42317.21089391877
2025-06-26,RLQR,p50,2634.795110935851,0.0,2634.795110935851,0.0,-2634.795110935851,0.0,0.0,1188.1804982803417,1540.6893431651838,0.0,False,False,False,44952.006004854615,0.0,-44952.006004854615
2025-06-27,RLQR,p50,2313.838968378695,0.0,2313.838968378695,0.0,-2313.838968378695,0.0,0.0,2147.195532050996,237.82685734577396,0.0,False,False,False,47265.84497323331,0.0,-47265.84497323331
