model,quantile,market,offered_volume_mwh,offered_capacity_mw,awarded_volume_mwh,awarded_capacity_mw,executed_volume_mwh,non_executed_volume_mwh,execution_ratio,expected_revenue_eur,realized_revenue_eur,missed_profitable_execution_eur,avoided_unprofitable_execution_eur,net_execution_effect_eur,data_status,offered_column_used,executed_column_used,realized_revenue_column_used
XGB,p30,ID,5.310622564478745,,5.310622564478745,,5.310622564478745,0.0,1.0,,-718.580339199619,,,,available,id_abs_mwh_total,id_abs_mwh_total,id_net_revenue_eur
XGB,p30,BCM,,8.530416951469583,,0.0,,,0.0,,26827.267616976733,,,,available,bcm_bid_capacity_abs_mw_mean,bcm_realized_capacity_abs_mw_mean,bcm_capacity_revenue_eur
XGB,p30,BEM,13618.0,,,,58.507182948575384,13559.492817051425,0.004296312450328637,,103815.42070638228,,,,available,bem_bid_abs_mwh_total,bem_realized_abs_mwh_total,bem_net_revenue_eur
XGB,p50,DA,441.1,,379.7424587095058,,379.7424587095058,61.357541290494225,0.8608987955327722,,21893.16653541199,,,,available,da_bid_abs_mwh_total,da_realized_abs_mwh_total,da_net_revenue_eur
XGB,p50,ID,8.464214187835985,,8.464214187835985,,8.464214187835985,0.0,1.0,,-1145.2928217560873,,,,available,id_abs_mwh_total,id_abs_mwh_total,id_net_revenue_eur
XGB,p50,BCM,,9.555023923444978,,0.0,,,0.0,,19598.697262840273,,,,available,bcm_bid_capacity_abs_mw_mean,bcm_realized_capacity_abs_mw_mean,bcm_capacity_revenue_eur
XGB,p50,BEM,14677.0,,,,59.86576495797367,14617.134235042025,0.004078882943242738,,103533.52696968908,,,,available,bem_bid_abs_mwh_total,bem_realized_abs_mwh_total,bem_net_revenue_eur
XGB,p70,DA,385.4,,324.1537985907198,,324.1537985907198,61.24620140928016,0.8410840648435907,,17480.622363341798,,,,available,da_bid_abs_mwh_total,da_realized_abs_mwh_total,da_net_revenue_eur
XGB,p70,ID,7.31055214473608,,7.31055214473608,,7.31055214473608,0.0,1.0,,-989.190810704239,,,,available,id_abs_mwh_total,id_abs_mwh_total,id_net_revenue_eur
XGB,p70,BCM,,10.088174982911823,,0.0,,,0.0,,9272.760715148926,,,,available,bcm_bid_capacity_abs_mw_mean,bcm_realized_capacity_abs_mw_mean,bcm_capacity_revenue_eur
XGB,p70,BEM,15144.0,,,,60.59504162232464,15083.404958377676,0.004001257370729309,,106352.4137881235,,,,available,bem_bid_abs_mwh_total,bem_realized_abs_mwh_total,bem_net_revenue_eur
XGB,p90,DA,403.5,,361.80373875446656,,361.80373875446656,41.696261245533435,0.8966635409032628,,20312.932230455463,,,,available,da_bid_abs_mwh_total,da_realized_abs_mwh_total,da_net_revenue_eur
XGB,p90,ID,5.19951536557556,,5.19951536557556,,5.19951536557556,0.0,1.0,,-703.546424116029,,,,available,id_abs_mwh_total,id_abs_mwh_total,id_net_revenue_eur
XGB,p90,BCM,,9.94941900205058,,0.0,,,0.0,,21093.821603271488,,,,available,bcm_bid_capacity_abs_mw_mean,bcm_realized_capacity_abs_mw_mean,bcm_capacity_revenue_eur
XGB,p90,BEM,14915.0,,,,63.419617728146186,14851.580382271854,0.004252069576141213,,110683.40789565197,,,,available,bem_bid_abs_mwh_total,bem_realized_abs_mwh_total,bem_net_revenue_eur
